epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.468,1.3412,1.63733,1.58579,0.83223,0.75828,0.81718,0.55499,1.21236,1.24054,1.58248,0.0668852,0.000166406,0.000166406
2,399.724,1.25577,1.28353,1.52353,0.83606,0.81053,0.85854,0.57172,1.18174,1.08899,1.52163,0.0337153,0.000329775,0.000329775
3,588.34,1.24364,1.19676,1.51241,0.87439,0.84627,0.91247,0.62871,1.19374,0.92499,1.54994,0.000542009,0.000489844,0.000489844
4,772.66,1.20116,1.1141,1.48175,0.90933,0.84571,0.90795,0.64551,1.11419,0.82157,1.46277,0.00048515,0.00048515,0.00048515
5,957.547,1.17463,1.05671,1.46018,0.9022,0.89485,0.91702,0.67364,1.06472,0.73489,1.44099,0.0004802,0.0004802,0.0004802
6,1136.64,1.14639,1.00425,1.44315,0.88747,0.85554,0.89964,0.65506,1.08011,0.82249,1.45019,0.00047525,0.00047525,0.00047525
7,1316.33,1.13887,0.97556,1.42877,0.91448,0.88685,0.92683,0.68839,1.02759,0.70983,1.39634,0.0004703,0.0004703,0.0004703
8,1494.03,1.10768,0.92844,1.40524,0.91956,0.87728,0.93138,0.64831,1.16156,0.68613,1.47573,0.00046535,0.00046535,0.00046535
9,1671.41,1.10075,0.90732,1.40287,0.9224,0.93796,0.95115,0.72125,0.99579,0.62902,1.38066,0.0004604,0.0004604,0.0004604
10,1848.94,1.09147,0.89058,1.39804,0.92228,0.90418,0.94457,0.69303,1.02926,0.66415,1.42252,0.00045545,0.00045545,0.00045545
11,2027.23,1.08644,0.87543,1.38712,0.89765,0.87886,0.92734,0.70944,0.99046,0.67651,1.3483,0.0004505,0.0004505,0.0004505
12,2204.05,1.06344,0.84395,1.37331,0.9414,0.9373,0.95785,0.74472,0.95723,0.5952,1.33095,0.00044555,0.00044555,0.00044555
13,2379.86,1.04802,0.83571,1.36949,0.93898,0.91171,0.94565,0.73257,0.96384,0.60166,1.34498,0.0004406,0.0004406,0.0004406
14,2556.52,1.03844,0.81388,1.35751,0.93667,0.93032,0.95865,0.73749,0.95186,0.57633,1.31306,0.00043565,0.00043565,0.00043565
15,2733.28,1.03462,0.81065,1.35482,0.94421,0.93641,0.96461,0.75817,0.92915,0.54975,1.30262,0.0004307,0.0004307,0.0004307
16,2909.16,1.04066,0.80343,1.36388,0.95305,0.91118,0.94879,0.74638,0.95206,0.55026,1.32683,0.00042575,0.00042575,0.00042575
17,3088.79,1.02854,0.78432,1.34548,0.94576,0.92775,0.95185,0.7563,0.94347,0.54031,1.3082,0.0004208,0.0004208,0.0004208
18,3267.74,1.02425,0.7709,1.34037,0.94528,0.9445,0.96811,0.77046,0.91875,0.53571,1.30006,0.00041585,0.00041585,0.00041585
