epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.941,1.32681,1.55819,1.60481,0.81304,0.57155,0.67363,0.38705,1.66526,1.48176,2.05443,0.0668896,0.000166384,0.000166384
2,485.042,1.23241,1.15002,1.52605,0.78569,0.8127,0.85358,0.48414,1.51847,1.19748,1.91493,0.0337197,0.000329753,0.000329753
3,722.984,1.20409,1.06929,1.51525,0.91153,0.89289,0.93479,0.58592,1.37107,0.90434,1.73406,0.000546416,0.000489823,0.000489823
4,958.013,1.17009,1.01842,1.49016,0.92428,0.89929,0.93476,0.59511,1.43596,0.83082,1.79465,0.00048515,0.00048515,0.00048515
5,1195.04,1.15044,0.96224,1.47235,0.95554,0.94002,0.96971,0.7029,1.14999,0.70406,1.49756,0.0004802,0.0004802,0.0004802
6,1427.63,1.1245,0.90606,1.44922,0.9539,0.93688,0.96415,0.70011,1.15939,0.67998,1.52786,0.00047525,0.00047525,0.00047525
7,1662.7,1.10144,0.88253,1.43273,0.9627,0.94348,0.97052,0.71543,1.10631,0.60975,1.48249,0.0004703,0.0004703,0.0004703
8,1896.38,1.07254,0.83768,1.41146,0.96379,0.94975,0.97011,0.72767,1.10786,0.59303,1.49138,0.00046535,0.00046535,0.00046535
9,2130.86,1.06383,0.81601,1.40589,0.97746,0.96225,0.97913,0.74577,1.0895,0.5817,1.43166,0.0004604,0.0004604,0.0004604
10,2364.17,1.04474,0.81133,1.39112,0.97218,0.95536,0.97814,0.7478,1.06708,0.57181,1.43435,0.00045545,0.00045545,0.00045545
11,2596.65,1.03732,0.77011,1.38462,0.95823,0.94942,0.97302,0.73933,1.08735,0.59785,1.44142,0.0004505,0.0004505,0.0004505
12,2830.32,1.02297,0.76764,1.38148,0.97633,0.96576,0.98144,0.76649,1.02369,0.52725,1.37483,0.00044555,0.00044555,0.00044555
13,3065.66,1.01461,0.74726,1.36942,0.97588,0.96732,0.98262,0.76565,1.02551,0.51899,1.38246,0.0004406,0.0004406,0.0004406
14,3297.34,1.00682,0.73385,1.3637,0.974,0.96844,0.98244,0.77556,0.98787,0.49651,1.35435,0.00043565,0.00043565,0.00043565
15,3529.91,0.9922,0.72258,1.35189,0.98069,0.97151,0.98647,0.7858,0.98405,0.48794,1.35508,0.0004307,0.0004307,0.0004307
16,3763.08,0.99114,0.71688,1.35201,0.97411,0.97463,0.98609,0.78376,0.98334,0.48608,1.33857,0.00042575,0.00042575,0.00042575
17,3993.67,0.98154,0.70773,1.34606,0.97347,0.97369,0.98589,0.78483,0.9825,0.498,1.36429,0.0004208,0.0004208,0.0004208
18,4225.65,0.97058,0.70015,1.34378,0.97476,0.97814,0.98853,0.77934,0.99311,0.47945,1.34356,0.00041585,0.00041585,0.00041585
19,4460.16,0.97136,0.69066,1.33787,0.97978,0.97879,0.98939,0.7893,0.95562,0.46959,1.31902,0.0004109,0.0004109,0.0004109
20,4691.34,0.96096,0.68061,1.32712,0.98046,0.97706,0.98679,0.80026,0.94099,0.45206,1.30087,0.00040595,0.00040595,0.00040595
21,4924.49,0.94324,0.66253,1.31653,0.98498,0.98174,0.99049,0.81486,0.91632,0.44379,1.2757,0.000401,0.000401,0.000401
22,5158.55,0.95449,0.66895,1.32595,0.9848,0.98486,0.99114,0.8231,0.90433,0.43693,1.2573,0.00039605,0.00039605,0.00039605
23,5392.19,0.94586,0.66211,1.31905,0.98612,0.98401,0.99124,0.80923,0.92913,0.43263,1.29183,0.0003911,0.0003911,0.0003911
24,5625.34,0.92384,0.64763,1.30366,0.98811,0.98235,0.9915,0.82442,0.87804,0.42471,1.23709,0.00038615,0.00038615,0.00038615
25,5860.65,0.92753,0.6439,1.30698,0.98647,0.98562,0.99265,0.82708,0.88239,0.41709,1.24548,0.0003812,0.0003812,0.0003812
26,6095.37,0.92003,0.63608,1.29992,0.98661,0.98583,0.99194,0.83062,0.88754,0.41403,1.25297,0.00037625,0.00037625,0.00037625
27,6326.95,0.91825,0.62998,1.30009,0.98678,0.9868,0.99217,0.83201,0.86799,0.40149,1.23514,0.0003713,0.0003713,0.0003713
28,6559.11,0.90592,0.61992,1.2915,0.98325,0.98563,0.99156,0.82822,0.87092,0.4039,1.24014,0.00036635,0.00036635,0.00036635
29,6791.17,0.90986,0.61787,1.2876,0.98765,0.98604,0.9929,0.84102,0.84792,0.39218,1.21273,0.0003614,0.0003614,0.0003614
30,7027.09,0.89521,0.60408,1.27757,0.98637,0.98636,0.9921,0.83507,0.86179,0.39447,1.21066,0.00035645,0.00035645,0.00035645
31,7261.89,0.89144,0.59636,1.27908,0.98959,0.98848,0.99337,0.84325,0.8418,0.389,1.19848,0.0003515,0.0003515,0.0003515
32,7494.24,0.89678,0.60591,1.28177,0.98899,0.98973,0.99345,0.84782,0.81867,0.37006,1.17949,0.00034655,0.00034655,0.00034655
33,7725.59,0.8854,0.59788,1.27451,0.98906,0.99187,0.99404,0.85099,0.81391,0.3741,1.18398,0.0003416,0.0003416,0.0003416
34,7956.22,0.88357,0.5833,1.26532,0.9923,0.99236,0.99362,0.84924,0.81082,0.37245,1.17021,0.00033665,0.00033665,0.00033665
35,8191.68,0.87977,0.59541,1.26559,0.99195,0.99047,0.99405,0.8492,0.81529,0.37576,1.17498,0.0003317,0.0003317,0.0003317
36,8424.31,0.87329,0.58243,1.26265,0.99154,0.98978,0.99355,0.85336,0.80061,0.36505,1.16089,0.00032675,0.00032675,0.00032675
37,8659.87,0.86976,0.57833,1.26057,0.9925,0.99357,0.99386,0.85663,0.79364,0.35986,1.1589,0.0003218,0.0003218,0.0003218
38,8893.52,0.85704,0.56804,1.25079,0.99333,0.99441,0.99405,0.85915,0.78263,0.35362,1.1492,0.00031685,0.00031685,0.00031685
39,9127.74,0.86626,0.5683,1.25634,0.98985,0.99244,0.99389,0.85818,0.78406,0.35735,1.14562,0.0003119,0.0003119,0.0003119
40,9362.78,0.85134,0.55851,1.2461,0.99315,0.99047,0.99385,0.86138,0.78244,0.35324,1.1493,0.00030695,0.00030695,0.00030695
41,9601.76,0.85189,0.55322,1.24802,0.99221,0.99394,0.99389,0.86277,0.77074,0.35045,1.13293,0.000302,0.000302,0.000302
42,9838.12,0.85142,0.5475,1.24106,0.99278,0.99442,0.99393,0.86576,0.7589,0.3436,1.12675,0.00029705,0.00029705,0.00029705
43,10072.6,0.84656,0.545,1.23931,0.99489,0.99289,0.99423,0.86977,0.75651,0.34203,1.11618,0.0002921,0.0002921,0.0002921
44,10306.9,0.84138,0.54782,1.23884,0.99554,0.99277,0.99411,0.87173,0.74818,0.33329,1.10898,0.00028715,0.00028715,0.00028715
45,10541.3,0.8389,0.54249,1.23698,0.99538,0.99488,0.99432,0.87127,0.75015,0.33193,1.11115,0.0002822,0.0002822,0.0002822
46,10777.3,0.83199,0.53735,1.22871,0.99499,0.99569,0.99437,0.87515,0.74021,0.32974,1.10093,0.00027725,0.00027725,0.00027725
47,11014.8,0.83112,0.53166,1.23279,0.99507,0.9954,0.9944,0.87468,0.73705,0.33123,1.1016,0.0002723,0.0002723,0.0002723
